iter	Passed	Remaining
0	1	152
1	3	155
2	4	140
3	5	127
4	6	125
5	7	121
6	8	118
7	10	115
8	11	111
9	12	114
10	13	110
11	14	109
12	15	106
13	16	104
14	18	104
15	19	102
16	20	101
17	21	98
18	23	98
19	24	97
20	25	95
21	26	94
22	27	93
23	28	91
24	29	89
25	30	87
26	32	86
27	33	85
28	34	83
29	35	82
30	36	81
31	37	80
32	39	80
33	40	79
34	42	78
35	43	76
36	44	75
37	45	74
38	46	73
39	47	71
40	49	71
41	49	68
42	51	67
43	52	67
44	53	65
45	55	65
46	56	63
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	65	55
54	65	53
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	73	46
61	73	45
62	75	44
63	76	42
64	77	41
65	78	40
66	80	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	87	32
73	88	31
74	89	29
75	90	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	101	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	112	7
94	113	5
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
